order,name,description,vector,type,units,region,2017,2018,2019,2020,2021,2022,2023,2024
123,"IMPX(g02,ROW,USA)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0,0
124,"IMPX(g02,ROW,ROW)",individual imports shift ,exo,exo,gdp,ROW,0,0,0,0,0,0,0,0
125,"IMQ(g01,USA)","DF imports by good, IMQ.xx",end,z1l,gdp,USA,0.8884374,0.9013167,0.8617556,0.77052463,0.85099915,0.90507248,0.82586783,0.83391715
126,"IMQ(g01,ROW)","DF imports by good, IMQ.xx",end,z1l,gdp,ROW,0.8884374,0.9013167,0.8617556,0.77052463,0.85099915,0.90507248,0.82586783,0.83391715
127,"IMQ(g02,USA)","DF imports by good, IMQ.xx",end,z1l,gdp,USA,13.77678007,13.97649619,13.36303189,11.94833578,13.1962343,14.03473618,12.80652918,12.93134795
128,"IMQ(g02,ROW)","DF imports by good, IMQ.xx",end,z1l,gdp,ROW,13.77678007,13.97649619,13.36303189,11.94833578,13.1962343,14.03473618,12.80652918,12.93134795
129,IMQT(USA),value of imports at destination,end,z1l,gdp,USA,14.66521747,14.87781289,14.22478749,12.71886041,14.04723345,14.93980866,13.63239702,13.7652651
130,IMQT(ROW),value of imports at destination,end,z1l,gdp,ROW,14.66521747,14.87781289,14.22478749,12.71886041,14.04723345,14.93980866,13.63239702,13.7652651
131,INAS(USA),nominal USD net interest payments on foreign assets,end,z1l,gdp,USA,0,0,0,0,0,0,0,0
132,INAS(ROW),nominal USD net interest payments on foreign assets,end,z1l,gdp,ROW,0,0,0,0,0,0,0,0
133,INCM(USA),after tax household income,end,z1l,gdp,USA,66.48611235,66.20984958,65.89412522,65.03583351,66.22648568,66.51040323,66.36174674,66.41998484
134,INCM(ROW),after tax household income,end,z1l,gdp,ROW,66.48611235,66.20984958,65.89412522,65.03583351,66.22648568,66.51040323,66.36174674,66.41998484
135,INFCL(USA),household materials inflation rate,end,z1l,pct,USA,2.26504468,2.26504468,1.63698749,1.3357815,4.46193124,6.87095026,3.63340059,2.45205817
136,INFCL(ROW),household materials inflation rate,end,z1l,pct,ROW,2.26504468,2.26504468,1.63698749,1.3357815,4.46193124,6.87095026,3.63340059,2.45205817
137,INFL(USA),consumer price inflation,end,z1l,pct,USA,2.02632822,2.02632822,1.42230376,1.11223209,4.03165185,6.33602101,3.72835299,2.58455568
138,INFL(ROW),consumer price inflation,end,z1l,pct,ROW,2.02632822,2.02632822,1.42230376,1.11223209,4.03165185,6.33602101,3.72835299,2.58455568
139,INFP(USA),output price inflation,end,z1l,pct,USA,2.26504468,2.26504468,1.63698749,1.3357815,4.46193124,6.87095026,3.63340059,2.45205817
140,INFP(ROW),output price inflation,end,z1l,pct,ROW,2.26504468,2.26504468,1.63698749,1.3357815,4.46193124,6.87095026,3.63340059,2.45205817
141,INFX(USA),inflation target,exo,exo,pct,USA,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
142,INFX(ROW),inflation target,exo,exo,pct,ROW,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
143,INPN(USA),"policy interest rate, short-run, nominal",stl,x1l,pct,USA,1.1525,2.18833333,2.2075,0.65063167,0.11416667,2.2275,5.1775,5.05083333
144,INPN(ROW),"policy interest rate, short-run, nominal",stl,x1l,pct,ROW,1.1525,2.18833333,2.2075,0.65063167,0.11416667,2.2275,5.1775,5.05083333
145,"INS(USA,g01)",shocks to aggregate investment demand,exo,exo,gdp,USA,0,0,0,0,0,0,0,0
146,"INS(USA,g02)",shocks to aggregate investment demand,exo,exo,gdp,USA,0,0,0,0,0,0,0,0
147,"INS(ROW,g01)",shocks to aggregate investment demand,exo,exo,gdp,ROW,0,0,0,0,0,0,0,0
148,"INS(ROW,g02)",shocks to aggregate investment demand,exo,exo,gdp,ROW,0,0,0,0,0,0,0,0
149,INTF(USA),"risk free interest rate, short-run, real",end,z1l,pct,USA,-1.11254468,0.55134584,0.8717185,-3.81129956,-6.75678359,-1.40590059,2.72544183,2.59877516
150,INTF(ROW),"risk free interest rate, short-run, real",end,z1l,pct,ROW,-1.11254468,0.55134584,0.8717185,-3.81129956,-6.75678359,-1.40590059,2.72544183,2.59877516
151,INTL(USA),"interest rate, short-run, nominal - lagged",sta,x1l,pct,USA,1.1525,1.1525,2.18833333,2.2075,0.65063167,0.11416667,2.2275,5.1775
152,INTL(ROW),"interest rate, short-run, nominal - lagged",sta,x1l,pct,ROW,1.1525,1.1525,2.18833333,2.2075,0.65063167,0.11416667,2.2275,5.1775
153,INTN(USA),"interest rate, short (policy), nominal",stl,x1l,pct,USA,1.1525,2.18833333,2.2075,0.65063167,0.11416667,2.2275,5.1775,5.05083333
154,INTN(ROW),"interest rate, short (policy), nominal",stl,x1l,pct,ROW,1.1525,2.18833333,2.2075,0.65063167,0.11416667,2.2275,5.1775,5.05083333
155,INTR(USA),"risk adjusted interest rate, short-run, real",end,z1l,pct,USA,-1.11254468,0.55134584,0.8717185,-3.81129956,-6.75678359,-1.40590059,2.72544183,2.59877516
156,INTR(ROW),"risk adjusted interest rate, short-run, real",end,z1l,pct,ROW,-1.11254468,0.55134584,0.8717185,-3.81129956,-6.75678359,-1.40590059,2.72544183,2.59877516
157,INTX(USA),shock to interest rate target,exo,exo,pct,USA,0,0,0,0,0,0,0,0
158,INTX(ROW),shock to interest rate target,exo,exo,pct,ROW,0,0,0,0,0,0,0,0
159,"INV(a01,USA)",raw investment,end,z1l,gdp,USA,1.2902591,1.30952017,1.30568837,1.27112389,1.28121218,1.30802214,1.30904689,1.29636548
160,"INV(a01,ROW)",raw investment,end,z1l,gdp,ROW,1.2902591,1.30952017,1.30568837,1.27112389,1.28121218,1.30802214,1.30904689,1.29636548
161,"INV(a02,USA)",raw investment,end,z1l,gdp,USA,15.48432969,15.72984457,15.75974475,15.69652479,15.69412333,15.85905336,15.89141033,15.77291861
162,"INV(a02,ROW)",raw investment,end,z1l,gdp,ROW,15.48432969,15.72984457,15.75974475,15.69652479,15.69412333,15.85905336,15.89141033,15.77291861
163,INVP(USA),total investment by standard sectors,end,z1l,gdp,USA,16.77458879,17.03936474,17.06543312,16.96764868,16.97533551,17.1670755,17.20045721,17.06928409
164,INVP(ROW),total investment by standard sectors,end,z1l,gdp,ROW,16.77458879,17.03936474,17.06543312,16.96764868,16.97533551,17.1670755,17.20045721,17.06928409
165,INVT(USA),total investment including by households,end,z1l,gdp,USA,20.21403686,20.52923657,20.54179962,20.38538702,20.47347955,20.72818554,20.73827945,20.58682893
166,INVT(ROW),total investment including by households,end,z1l,gdp,ROW,20.21403686,20.52923657,20.54179962,20.38538702,20.47347955,20.72818554,20.73827945,20.58682893
167,INVY(USA),raw investment of raw capital sector,end,z1l,gdp,USA,0.40888979,0.42233509,0.42304043,0.41856019,0.42186794,0.43221519,0.43092253,0.42520045
168,INVY(ROW),raw investment of raw capital sector,end,z1l,gdp,ROW,0.40888979,0.42233509,0.42304043,0.41856019,0.42186794,0.43221519,0.43092253,0.42520045
169,INVZ(USA),household investment,end,z1l,gdp,USA,3.03055828,3.06753673,3.05332607,2.99917815,3.0762761,3.12889485,3.10689971,3.0923444
170,INVZ(ROW),household investment,end,z1l,gdp,ROW,3.03055828,3.06753673,3.05332607,2.99917815,3.0762761,3.12889485,3.10689971,3.0923444
171,IRAS(USA),real USD net interest payments on foreign assets,end,z1l,gdp,USA,0,0,0,0,0,0,0,0
